Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3349065,AMP50672.jpg,Unconfirmed,100,0.000,0.000,0.000,6.000,2.000,0.000,0.000,0.000,91.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
3349064,AMP50673.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,0.000
3349063,AMP50674.jpg,Unconfirmed,100,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000,0.000
3349062,AMP50675.jpg,Unconfirmed,100,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,61.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,1.000
3349061,AMP50676.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,94.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000
3349060,AMP50677.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,87.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,1.000
3349059,AMP50678.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,3.000
3349058,AMP50679.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,65.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,0.000
3349057,AMP50680.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,67.000,0.000,0.000,0.000,0.000,0.000
3349056,AMP50681.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,57.000,0.000,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,0.000
3349055,AMP50682.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,58.000,0.000,0.000,0.000,0.000,0.000
3349054,AMP50683.jpg,Unconfirmed,100,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,79.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,0.000
3349053,AMP50684.jpg,Unconfirmed,100,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,86.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,2.000
3349052,AMP50685.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,0.000
3349051,AMP50686.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,29.000,0.000,0.000,0.000,0.000,0.000
3349050,AMP50687.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000
3349049,AMP50688.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,2.000
3349048,AMP50689.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000,0.000
3349047,AMP50690.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,65.000,0.000,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,0.000
3349046,AMP50691.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,4.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,0.000
3349045,AMP50692.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,0.000
3349044,AMP50693.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.000,0.000,0.000,0.000,0.000,71.000,0.000,0.000,0.000,0.000,0.000
3349043,AMP50694.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,98.000,0.000,0.000,0.000,0.000,0.000
3349042,AMP50695.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,0.000,0.000,0.000
3349041,AMP50696.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,84.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000
3349040,AMP50697.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,93.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000
3349039,AMP50698.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,0.000,0.000
3349038,AMP50699.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,83.000,0.000,0.000,0.000,0.000,0.000
3349037,AMP50700.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000,0.000,0.000
3349036,AMP50701.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,0.000
3349035,AMP50702.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,85.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000
3349034,AMP50703.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000
3349033,AMP50705.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,94.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000
3349032,AMP50706.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,95.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
