Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3359403,AMP70178.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,1.000,40.000,0.000,0.000,0.000,31.000
3359402,AMP70179.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,39.000,7.000,0.000,0.000,0.000,2.000
3359401,AMP70180.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,15.000,23.000,0.000,0.000,0.000,21.000
3359400,AMP70182.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,4.000,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,24.000,30.000,0.000,0.000,0.000,8.000
3359399,AMP70183.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,25.000,37.000,0.000,0.000,0.000,12.000
3359398,AMP70184.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,35.000,0.000,0.000,0.000,40.000
3359397,AMP70185.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,46.000,18.000,0.000,0.000,0.000,9.000
3359396,AMP70186.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,38.000,0.000,0.000,0.000,0.000,47.000,13.000,0.000,0.000,0.000,1.000
3359395,AMP70187.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000
3359394,AMP70188.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.000,0.000,10.000,0.000,0.000,20.000,4.000,0.000,0.000,0.000,1.000
3359393,AMP70190.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.000,0.000,2.000,0.000,0.000,41.000,1.000,0.000,0.000,0.000,1.000
3359392,AMP70191.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.000,0.000,0.000,0.000,0.000,62.000,0.000,0.000,0.000,0.000,0.000
3359391,AMP70192.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,97.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000
3359390,AMP70193.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000
3359389,AMP70194.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000
3359388,AMP70195.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000
3359387,AMP70196.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3359386,AMP70197.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,63.000,2.000,0.000,0.000,0.000,1.000
3359385,AMP70198.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,49.000,15.000,0.000,0.000,0.000,0.000
