Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3348085,AMP50278.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,57.000,0.000,10.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,30.000
3348084,AMP50279.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,53.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.000
3348083,AMP50280.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000
3348082,AMP50281.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,54.000,0.000,4.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,27.000
3348081,AMP50282.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.000,0.000,13.000,0.000,0.000,4.000,1.000,0.000,0.000,0.000,35.000
3348080,AMP50283.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,48.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.000
3348079,AMP50284.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.000
3348078,AMP50285.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,56.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
3348077,AMP50286.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,13.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,14.000
3348076,AMP50287.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,57.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.000
3348075,AMP50288.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,69.000,0.000,9.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,21.000
